tid, keys, is_policy
0, tax properti gas fund pay chang increas reform senior pension,1
1, transport fire fund pant volunt bulli appropri head children administr,0
2, record win million children watch protect elect insur don't donors.who,0
3, duck flood crime lake histor hous tape twitter weigh scientist,0
4, governor care insur peopl health properti premium tea-parti fit hissi,0
5, common cronyism budget core scienc sens shadi number cours re-definit,0
6, peopl economi thing great famili bring middle-class doesn't beat everyon,0
7, thing scandal contract word role hous state noth food credit,0
8, violenc day error pollut domest lesson staff invit fli sunni,0
9, voter respons vote record futur someth failur oppon process state,0
10, rape victim incest justic case issu abort minor surgeon career,1
11, contributor campaign union payback attend fed poll day funni usag,0
12, marriag equal women ban davi he'd regul glass pay work,1
13, job state creation dead term stori video differ worker oppon,1
14, los secur superó problema frent dio decisión german camouflag personnel,0
15, campaign taxpay endors dollar million shame fund donor healthcar return,0
16, year rate unemploy time past law nation enforc singl averag,1
17, countri fan issu good communiti moral success posit compass benefit,0
18, educ school plan system explain spend kid disast cut direct,1
19, voter governor vote elect choic time evil mani poll wrong,0
20, educ time issu public record money real problem tomorrow today,1
21, gun law safeti lobbi smart answer repeal strategi exampl ridicul,1
22, money interest gov't special gas governor tough spend big repres,1
23, debat candid governor real plan race voter onli gubernatori chanc,0
24, lesser oppon candid sound articl mention incred infrastructur major comment,0
25, chang assault climat children sexual scandal money anyth love natur,0
26, decis month legisl noth scientist terribl wast insult davi yesterday,0
27, job corpor energi clean school thousand raider work segreg hous,1
28, readi start fresh leadership time truth top ethic you'r number,0
29, fraud evid line question ballot petit consequ dubious undeni law,0
30, friend bill offic famili offici taxpay build sign volunt coverup,0
31, compani deal good job util class year big middl attack,0
32, wage worker min minimum fair board hour control local frack,1
33, school kid student court teacher doesn't fund cut poor futur,1
34, question half result transpar agenda race problem financi cabella factor,0
35, support town hall statement ralli full she'll they'r long hrs,0
36, corrupt polit vote attack croni peopl person show easi politician,0
37, debat night peopl support question board open tonight meet fan,0
38, group campaign law poll share negat oppon tax detail specif,0
39, fals bad claim choic differ citizen mislead view leader support,0
40, bridg student road promis full loan water prioriti cap propos,0
41, polici noth life live famili women team donat work import,0
42, union time teacher today peopl leader boss big govern hard-work,1
43, job year growth tax plan sector econom increas rate incom,1
44, tax state high low histori act busi progress can't victori,0
45, recoveri michigand rate snyder job nation fee graduat gap sick,0
46, fact debat hard excus reason true net televis one-on-on major,0
47, test teacher rais standard pay skill basic matter year-old leadership,0
48, busi money expens insid tax small day govern taxpay cancer,0
49, suffer rich hardship wouldn't puppet healthcar econom upstat sever vice-versa,0
